%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z,field.valid
1.57E+18,871525,1.57E+18,0.523584882,-0.696171561,0.391489605,-0.197126459,0.150939028,0.678137394,0.691728446,0.24160687,-0.050553259,0.094574333,0.097421434,-0.003433855,0.013528478,2.628447059,2.522895411,6.065549858,0.525726697,-0.415303669,0.052274681,1
1.57E+18,871526,1.57E+18,0.524093939,-0.693636043,0.391411052,-0.196664466,0.150562848,0.678519861,0.691566855,0.246641485,-0.047030583,0.093659514,0.0609607,0.003236146,0.081661793,-1.671318198,-0.343261484,3.334747247,-0.117276173,-0.163875549,0.192518237,1
1.57E+18,871527,1.57E+18,0.524591938,-0.691202424,0.391194197,-0.196128834,0.150238078,0.678468566,0.69183987,0.229039627,-0.042928066,0.098794212,0.034949163,-0.156605227,0.033863612,-2.505973588,-1.094855545,2.201019192,-0.586782353,0.126532185,0.144310722,1
1.57E+18,871528,1.57E+18,0.525011296,-0.688742959,0.391031689,-0.195918141,0.149766198,0.678393742,0.692075212,0.230275999,-0.041709266,0.093412668,0.024786368,-0.114625318,-0.055560308,2.716470622,3.195092397,6.312603734,0.686027652,-0.253705671,0.100602164,1
1.57E+18,871529,1.57E+18,0.5255028,-0.686165656,0.390877551,-0.195604686,0.149400529,0.678765085,0.691878781,0.231537233,-0.037460848,0.100829065,-0.025844461,-0.116427076,-0.015896539,1.067471474,1.635797346,4.763529503,0.48693537,0.035923897,0.018788764,1
1.57E+18,871530,1.57E+18,0.525971944,-0.683680544,0.390648445,-0.19519924,0.149565314,0.679083353,0.691645338,0.236627488,-0.043707371,0.097665522,0.026431347,-0.081966626,0.07232041,2.874447361,3.008812515,5.578087171,0.649346454,-0.250617732,0.2043342,1
1.57E+18,871531,1.57E+18,0.526540904,-0.681092576,0.390442945,-0.194835846,0.149529013,0.679447649,0.69139783,0.239631772,-0.046446557,0.095490313,0.042263346,-0.062750549,0.092479388,0.323949542,0.72702658,3.093423284,0.151207895,-0.021097867,0.167070167,1
1.57E+18,871532,1.57E+18,0.527048744,-0.678645029,0.390052602,-0.194642163,0.149772891,0.679178261,0.691664225,0.241244593,-0.046968917,0.088377111,0.056123366,-0.050519299,0.037461511,-0.391228595,0.584042137,2.931148773,0.078612702,0.03748065,0.046079333,1
1.57E+18,871533,1.57E+18,0.527646373,-0.676171869,0.389813089,-0.19420854,0.150059369,0.679352766,0.691552636,0.239261372,-0.049576655,0.080326373,0.101674344,-5.09E-05,-0.006093631,1.579129698,3.090575778,5.198910588,0.413660136,-0.263645444,0.115270279,1
1.57E+18,871534,1.57E+18,0.528110382,-0.673726023,0.389610629,-0.193929666,0.150024836,0.679697926,0.691299185,0.234463908,-0.048719925,0.089248645,0.062957938,-0.041168458,0.063894798,1.256042778,3.639726238,5.536137123,0.434967499,-0.129221986,0.180510758,1
